City,Country,Latitude,Longitude,Year,Value,Date,Time,Min,TimeNew,VAL_0
Tokyo,Japan,35.6895,139.69171,1975,23000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,1
Tokyo,Japan,35.6895,139.69171,1970,20450000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.889129832
Philadelphia,United States of America,39.95,-75.1667,1914,17600000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.765216115
New York,United States of America,40.714353,-74.005972,1970,17252000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.750085598
New York,United States of America,40.714353,-74.005972,1975,17100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.743476867
Osaka,Japan,34.693216,135.502082,1975,15500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.673911271
New York,United States of America,40.714353,-74.005972,1950,12463000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.541867075
Osaka,Japan,34.693216,135.502082,1970,12000000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.521736531
Mexico City,Mexico,19.42847,-99.12766,1975,11300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.491301583
London,United Kingdom,51.511214,-0.119825,1970,10875000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.472823222
Moscow,Russian Federation,55.75222,37.61556,1975,10700000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.465214485
London,United Kingdom,51.511214,-0.119825,1975,10500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.456518785
Sao Paolo,Brazil,-23.5475,-46.63611,1975,10000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.434779537
Moscow,Russian Federation,55.75222,37.61556,1970,9800000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.426083837
Paris,France,48.856614,2.352222,1975,9400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.408692439
Mexico City,Mexico,19.42847,-99.12766,1970,9000000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.39130104
Los Angeles,United States of America,34.052234,-118.243685,1975,8900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.38695319
Paris,France,48.856614,2.352222,1970,8875000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.385866228
London,United Kingdom,51.511214,-0.119825,1950,8860000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.38521405
Los Angeles,United States of America,34.052234,-118.243685,1970,8712000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.378779232
Buenos Aires,Argentina,-34.61315,-58.37723,1970,8625000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.374996603
Buenos Aires,Argentina,-34.61315,-58.37723,1975,8400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.365213941
Cairo,Egypt,30.06263,31.24967,1975,8400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.365213941
Rio de Janeiro,Brazil,-22.90278,-43.2075,1975,8300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.360866092
Sao Paolo,Brazil,-23.5475,-46.63611,1970,8050000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.349996467
Shanghai,China,31.22222,121.45806,1975,8000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.347822543
Shanghai,China,31.22222,121.45806,1970,7900000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.343474693
Calcutta,India,22.56263,88.36304,1975,7800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.339126843
New York,United States of America,40.714353,-74.005972,1925,7774000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.337996402
London,United Kingdom,51.511214,-0.119825,1925,7742000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.33660509
Chicago,United States of America,41.85003,-87.65005,1975,7600000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.330431144
Chicago,United States of America,41.85003,-87.65005,1970,7585000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.329778966
London,United Kingdom,51.511214,-0.119825,1914,7419000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.322561536
Tokyo,Japan,35.6895,139.69171,1950,7000000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.304344045
Rio de Janeiro,Brazil,-22.90278,-43.2075,1970,7000000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.304344045
Mumbai,India,19.07283,72.88261,1975,7000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.304344045
Calcutta,India,22.56263,88.36304,1970,6900000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.299996196
Seoul,Republic of Korea,37.56826,126.97783,1975,6800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.295648346
New York,United States of America,40.714353,-74.005972,1914,6700000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.291300496
Mumbai,India,19.07283,72.88261,1970,6610000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.287387431
